Customer_ID,risk_score,risk_category
1131-QQZEB,1,"Low risk"
5716-EZXZN,2,"Medium risk"
6837-BJYDQ,2,"Medium risk"
2135-RXIHG,4,"High risk"
6440-DKQGE,1,"Low risk"
3466-BYAVD,1,"Low risk"
3780-YVMFA,2,"Medium risk"
3874-EQOEP,5,"High risk"
1679-JRFBR,3,"Medium risk"
9073-ZZIAY,1,"Low risk"
3077-RSNTJ,3,"Medium risk"
6551-GNYDG,4,"High risk"
9167-APMXZ,4,"High risk"
2749-CTKAJ,1,"Low risk"
6371-NZYEG,1,"Low risk"
7554-NEWDD,2,"Medium risk"
8992-VONJD,2,"Medium risk"
0867-MKZVY,5,"High risk"
4482-EWFMI,4,"High risk"
4648-YPBTM,0,"Low risk"
2907-ILJBN,2,"Medium risk"
6345-FZOQH,1,"Low risk"
3376-BMGFE,5,"High risk"
5997-OPVFA,1,"Low risk"
3445-HXXGF,3,"Medium risk"
1159-WFSGR,2,"Medium risk"
7654-YWJUF,2,"Medium risk"
1875-QIVME,4,"High risk"
6727-IOTLZ,1,"Low risk"
0691-JVSYA,4,"High risk"
5918-VUKWP,1,"Low risk"
1744-JHKYS,2,"Medium risk"
2656-FMOKZ,4,"High risk"
2070-FNEXE,5,"High risk"
5947-SGKCL,4,"High risk"
3712-PKXZA,1,"Low risk"
6317-YPKDH,4,"High risk"
6582-OIVSP,3,"Medium risk"
9367-WXLCH,6,"High risk"
5524-KHNJP,1,"Low risk"
1918-ZBFQJ,4,"High risk"
1024-GUALD,4,"High risk"
4827-USJHP,2,"Medium risk"
8167-GJLRN,2,"Medium risk"
0956-SYCWG,1,"Low risk"
8017-UVSZU,2,"Medium risk"
7100-FQPRV,0,"Low risk"
2472-OVKUP,6,"High risk"
2984-RGEYA,1,"Low risk"
9680-NIAUV,3,"Medium risk"
2146-EGVDT,1,"Low risk"
2604-IJPDU,3,"Medium risk"
9178-JHUVJ,1,"Low risk"
6168-YBYNP,3,"Medium risk"
7255-SSFBC,2,"Medium risk"
3645-DEYGF,3,"Medium risk"
9323-HGFWY,2,"Medium risk"
8544-GOQSH,3,"Medium risk"
3363-DTIVD,3,"Medium risk"
7018-WBJNK,3,"Medium risk"
9142-KZXOP,3,"Medium risk"
7674-YTAFD,1,"Low risk"
6348-SNFUS,0,"Low risk"
1285-OKIPP,5,"High risk"
7825-ECJRF,4,"High risk"
1347-KTTTA,2,"Medium risk"
7841-TZDMQ,3,"Medium risk"
4195-NZGTA,3,"Medium risk"
7157-SMCFK,1,"Low risk"
4709-LKHYG,1,"Low risk"
2504-DSHIH,4,"High risk"
0699-NDKJM,2,"Medium risk"
9286-BHDQG,0,"Low risk"
0230-WEQUW,0,"Low risk"
2040-LDIWQ,1,"Low risk"
6496-JDSSB,4,"High risk"
9408-SSNVZ,5,"High risk"
4443-EMBNA,1,"Low risk"
6469-MRVET,2,"Medium risk"
0742-MOABM,3,"Medium risk"
5961-VUSRV,2,"Medium risk"
6778-JFCMK,1,"Low risk"
6341-JVQGF,1,"Low risk"
2232-DMLXU,4,"High risk"
4811-JBUVU,3,"Medium risk"
0945-TSONX,1,"Low risk"
2651-ZCBXV,2,"Medium risk"
3316-UWXUY,3,"Medium risk"
8937-RDTHP,6,"High risk"
7083-MIOPC,1,"Low risk"
1984-GPTEH,2,"Medium risk"
1251-KRREG,3,"Medium risk"
0621-JFHOL,1,"Low risk"
9903-LYSAB,3,"Medium risk"
0094-OIFMO,6,"High risk"
9227-UAQFT,1,"Low risk"
7301-ABVAD,1,"Low risk"
6614-FHDBO,2,"Medium risk"
7576-ASEJU,0,"Low risk"
9058-HRZSV,4,"High risk"
4522-AKYLR,2,"Medium risk"
0221-WMXNQ,4,"High risk"
0303-UNCIP,1,"Low risk"
9947-OTFQU,4,"High risk"
0322-YINQP,4,"High risk"
0959-WHOKV,3,"Medium risk"
4075-JFPGR,3,"Medium risk"
4629-NRXKX,5,"High risk"
9514-JDSKI,4,"High risk"
3282-ZISZV,1,"Low risk"
3675-YDUPJ,3,"Medium risk"
4111-BNXIF,0,"Low risk"
7017-VFHAY,2,"Medium risk"
6655-LHBYW,2,"Medium risk"
4959-JOSRX,4,"High risk"
5046-NUHWD,2,"Medium risk"
7273-TEFQD,4,"High risk"
3606-TWKGI,4,"High risk"
7529-ZDFXI,4,"High risk"
7605-BDWDC,0,"Low risk"
1950-KSVVJ,2,"Medium risk"
0123-CRBRT,1,"Low risk"
6292-TOSSS,1,"Low risk"
3197-ARFOY,3,"Medium risk"
6323-AYBRX,1,"Low risk"
7014-ZZXAW,1,"Low risk"
4385-GZQXV,4,"High risk"
7633-MVPUY,0,"Low risk"
6366-ZGQGL,4,"High risk"
4716-HHKQH,3,"Medium risk"
5940-AHUHD,5,"High risk"
6432-TWQLB,4,"High risk"
4484-GLZOU,5,"High risk"
3179-GBRWV,2,"Medium risk"
8645-KWHJO,1,"Low risk"
4130-MZLCC,3,"Medium risk"
0314-TKOSI,3,"Medium risk"
8229-MYEJZ,3,"Medium risk"
2080-SRCDE,3,"Medium risk"
9577-WJVCQ,2,"Medium risk"
9512-UIBFX,4,"High risk"
6202-DYYFX,2,"Medium risk"
3808-HFKDE,2,"Medium risk"
5583-SXDAG,4,"High risk"
3488-PGMQJ,5,"High risk"
3580-REOAC,4,"High risk"
7534-BFESC,4,"High risk"
3727-OWVYD,1,"Low risk"
2294-SALNE,2,"Medium risk"
4847-TAJYI,5,"High risk"
1563-IWQEX,3,"Medium risk"
8203-XJZRC,3,"Medium risk"
6556-DBKZF,2,"Medium risk"
6851-WEFYX,4,"High risk"
2985-JUUBZ,2,"Medium risk"
6390-DSAZX,5,"High risk"
0895-LMRSF,1,"Low risk"
8098-LLAZX,5,"High risk"
8266-VBFQL,4,"High risk"
8181-YHCMF,0,"Low risk"
2240-HSJQD,4,"High risk"
1248-DYXUB,1,"Low risk"
0265-EDXBD,4,"High risk"
4115-BNPJY,0,"Low risk"
3167-SNQPL,4,"High risk"
4091-TVOCN,1,"Low risk"
1098-TDVUQ,3,"Medium risk"
7277-OZCGZ,3,"Medium risk"
1557-EMYVT,2,"Medium risk"
2799-ARNLO,4,"High risk"
7563-BIUPC,6,"High risk"
5027-YOCXN,2,"Medium risk"
3973-SKMLN,1,"Low risk"
2321-OMBXY,2,"Medium risk"
2840-XANRC,4,"High risk"
6745-JEFZB,3,"Medium risk"
5020-ZSTTY,2,"Medium risk"
9880-TDQAC,0,"Low risk"
8705-WZCYL,3,"Medium risk"
7102-JJVTX,2,"Medium risk"
8626-PTQGE,0,"Low risk"
4983-CLMLV,3,"Medium risk"
5701-YVSVF,4,"High risk"
5804-LEPIM,4,"High risk"
5697-GOMBF,2,"Medium risk"
2739-CACDQ,4,"High risk"
9385-EHGDO,1,"Low risk"
9498-FIMXL,2,"Medium risk"
2379-GYFLQ,3,"Medium risk"
0122-OAHPZ,4,"High risk"
2868-SNELZ,6,"High risk"
4322-RCYMT,0,"Low risk"
6680-NENYN,4,"High risk"
2088-IEBAU,1,"Low risk"
7982-VCELR,4,"High risk"
1343-EHPYB,5,"High risk"
6035-BXTTY,1,"Low risk"
6885-PKOAM,1,"Low risk"
7520-HQWJU,2,"Medium risk"
9639-BUJXT,1,"Low risk"
5924-SNGKP,1,"Low risk"
0021-IKXGC,4,"High risk"
2034-GDRCN,5,"High risk"
8966-SNIZF,1,"Low risk"
6243-OZGFH,2,"Medium risk"
4654-DLAMQ,3,"Medium risk"
0513-RBGPE,0,"Low risk"
5160-UXJED,1,"Low risk"
4115-NZRKS,5,"High risk"
0219-YTZUE,5,"High risk"
0623-IIHUG,3,"Medium risk"
4572-DVCGN,5,"High risk"
3351-NGXYI,2,"Medium risk"
8984-EYLLL,2,"Medium risk"
9057-MSWCO,3,"Medium risk"
9833-TGFHX,3,"Medium risk"
9294-TDIPC,3,"Medium risk"
5229-DTFYB,2,"Medium risk"
0104-PPXDV,1,"Low risk"
5176-LMJXE,1,"Low risk"
3583-KRKMD,2,"Medium risk"
1010-DIAUQ,5,"High risk"
9069-LGEUL,2,"Medium risk"
7302-ZHMHP,3,"Medium risk"
9571-EDEBV,3,"Medium risk"
3520-FJGCV,2,"Medium risk"
6563-VRERX,1,"Low risk"
0259-GBZSH,5,"High risk"
6122-EFVKN,0,"Low risk"
2805-EDJPQ,2,"Medium risk"
6862-CQUMB,4,"High risk"
7156-MXBJE,1,"Low risk"
6158-HDPXZ,3,"Medium risk"
9601-BRXPO,3,"Medium risk"
2863-IMQDR,1,"Low risk"
5686-CMAWK,2,"Medium risk"
5651-CRHKQ,2,"Medium risk"
6905-NIQIN,4,"High risk"
8204-YJCLA,0,"Low risk"
5167-ZFFMM,5,"High risk"
6583-SZVGP,3,"Medium risk"
4895-TMWIR,4,"High risk"
0533-BNWKF,5,"High risk"
1708-PBBOA,0,"Low risk"
8782-LKFPK,4,"High risk"
5522-JBWMO,3,"Medium risk"
3597-MVHJT,4,"High risk"
9774-NRNAU,2,"Medium risk"
0224-RLWWD,3,"Medium risk"
9967-ATRFS,2,"Medium risk"
3951-NJCVI,4,"High risk"
2977-CEBSX,1,"Low risk"
0177-PXBAT,3,"Medium risk"
6599-CEBNN,3,"Medium risk"
2519-ERQOJ,1,"Low risk"
5876-QMYLD,1,"Low risk"
2277-AXSDC,1,"Low risk"
9442-JTWDL,2,"Medium risk"
0979-PHULV,4,"High risk"
3067-SVMTC,0,"Low risk"
5495-GPSRW,1,"Low risk"
7606-BPHHN,1,"Low risk"
4742-DRORA,3,"Medium risk"
0111-KLBQG,4,"High risk"
4800-VHZKI,3,"Medium risk"
7989-CHGTL,4,"High risk"
0334-GDDSO,6,"High risk"
4163-NCJAK,1,"Low risk"
5233-AOZUF,3,"Medium risk"
5973-EJGDP,3,"Medium risk"
1996-DBMUS,3,"Medium risk"
7916-VCCPB,3,"Medium risk"
4686-GEFRM,2,"Medium risk"
5249-QYHEX,1,"Low risk"
0578-SKVMF,4,"High risk"
5564-NEMQO,5,"High risk"
2233-FAGXV,3,"Medium risk"
5605-IYGFG,4,"High risk"
7663-ZTEGJ,2,"Medium risk"
3935-TBRZZ,1,"Low risk"
8111-BKVDS,3,"Medium risk"
2055-SIFSS,2,"Medium risk"
2806-MLNTI,3,"Medium risk"
8734-DKSTZ,5,"High risk"
4360-PNRQB,3,"Medium risk"
6152-ONASV,0,"Low risk"
9063-ZGTUY,2,"Medium risk"
7781-HVGMK,0,"Low risk"
2181-UAESM,3,"Medium risk"
2957-LOLHO,3,"Medium risk"
6048-NJXHX,1,"Low risk"
2320-SLKMB,1,"Low risk"
4980-URKXC,1,"Low risk"
4376-KFVRS,2,"Medium risk"
5886-VLQVU,3,"Medium risk"
3577-AMVUX,2,"Medium risk"
0771-WLCLA,3,"Medium risk"
5628-RKIFK,4,"High risk"
0206-TBWLC,2,"Medium risk"
2937-FTHUR,2,"Medium risk"
1910-FMXJM,4,"High risk"
7752-XUSCI,5,"High risk"
4110-PFEUZ,5,"High risk"
0732-OCQOC,1,"Low risk"
5168-MSWXT,5,"High risk"
1090-ESELR,2,"Medium risk"
8592-PLTMQ,1,"Low risk"
5760-WRAHC,1,"Low risk"
8847-GEOOQ,1,"Low risk"
0256-LTHVJ,5,"High risk"
4785-FCIFB,1,"Low risk"
8313-NDOIA,4,"High risk"
5149-CUZUJ,2,"Medium risk"
0942-KOWSM,1,"Low risk"
4237-CLSMM,3,"Medium risk"
1452-VOQCH,4,"High risk"
4719-UMSIY,3,"Medium risk"
6614-VBEGU,2,"Medium risk"
0880-TKATG,6,"High risk"
3811-VBYBZ,6,"High risk"
1480-BKXGA,2,"Medium risk"
2996-XAUVF,0,"Low risk"
9076-AXYIK,2,"Medium risk"
5968-XQIVE,3,"Medium risk"
8896-RAZCR,1,"Low risk"
4640-UHDOS,3,"Medium risk"
4933-IKULF,1,"Low risk"
3583-EKAPL,4,"High risk"
1304-BCCFO,3,"Medium risk"
4104-PVRPS,1,"Low risk"
9399-APLBT,5,"High risk"
2359-KMGLI,5,"High risk"
3780-DDGSE,1,"Low risk"
4431-EDMIQ,2,"Medium risk"
0306-JAELE,5,"High risk"
6227-HWPWX,4,"High risk"
0486-LGCCH,2,"Medium risk"
0447-BEMNG,3,"Medium risk"
4612-SSVHJ,4,"High risk"
5168-MQQCA,2,"Medium risk"
5949-XIKAE,5,"High risk"
7971-HLVXI,3,"Medium risk"
9094-AZPHK,4,"High risk"
3649-JPUGY,1,"Low risk"
8372-JUXUI,5,"High risk"
3552-CTCYF,3,"Medium risk"
6778-YSNIH,3,"Medium risk"
0388-EOPEX,5,"High risk"
5756-OZRIO,1,"Low risk"
6579-JPICP,3,"Medium risk"
8205-OTCHB,1,"Low risk"
4134-BSXLX,1,"Low risk"
0505-SPOOW,1,"Low risk"
6235-VDHOM,4,"High risk"
7783-YKGDV,6,"High risk"
4374-YMUSQ,2,"Medium risk"
4513-CXYIX,3,"Medium risk"
3957-HHLMR,1,"Low risk"
7803-XOCCZ,3,"Medium risk"
5736-YEJAX,0,"Low risk"
5609-CEBID,5,"High risk"
8981-FJGLA,4,"High risk"
7218-HKQFK,5,"High risk"
4636-QRJKY,4,"High risk"
1135-LMECX,3,"Medium risk"
4332-MUOEZ,2,"Medium risk"
8535-SFUTN,4,"High risk"
5956-VKDTT,5,"High risk"
8677-HDZEE,3,"Medium risk"
2475-MROZF,3,"Medium risk"
9412-GHEEC,4,"High risk"
3482-ABPKK,0,"Low risk"
6705-LXORM,4,"High risk"
0257-ZESQC,3,"Medium risk"
7531-GQHME,3,"Medium risk"
5174-ITUMV,3,"Medium risk"
4109-CYRBD,2,"Medium risk"
0913-XWSCN,4,"High risk"
6825-UYPFK,4,"High risk"
8397-MVTAZ,4,"High risk"
0750-EBAIU,3,"Medium risk"
8606-CIQUL,2,"Medium risk"
3571-DPYUH,2,"Medium risk"
7601-GNDYK,1,"Low risk"
0356-OBMAC,2,"Medium risk"
8067-NIOYM,1,"Low risk"
1403-GYAFU,1,"Low risk"
4234-XTNEA,4,"High risk"
1297-VQDRP,2,"Medium risk"
9282-IZGQK,5,"High risk"
5348-CAGXB,5,"High risk"
0621-HJWXJ,4,"High risk"
5844-QVTAT,1,"Low risk"
8905-IAZPF,3,"Medium risk"
5394-MEITZ,1,"Low risk"
6859-QNXIQ,2,"Medium risk"
2782-LFZVW,3,"Medium risk"
2866-IKBTM,3,"Medium risk"
1342-JPNKI,5,"High risk"
2817-NTQDO,1,"Low risk"
7129-AZJDE,2,"Medium risk"
6986-IJDHX,5,"High risk"
2560-PPCHE,2,"Medium risk"
4676-MQUEA,3,"Medium risk"
8138-EALND,2,"Medium risk"
3580-HYCSP,3,"Medium risk"
1352-HNSAW,2,"Medium risk"
2075-PUEPR,1,"Low risk"
1982-FEBTD,1,"Low risk"
5301-GAUUY,5,"High risk"
5791-KAJFD,1,"Low risk"
2654-VBVPB,3,"Medium risk"
1154-HYWWO,0,"Low risk"
2501-XWWTZ,4,"High risk"
3716-UVSPD,2,"Medium risk"
6815-ABQFQ,2,"Medium risk"
7343-EOBEU,3,"Medium risk"
3701-SFMUH,3,"Medium risk"
6103-LIANB,3,"Medium risk"
7319-VENRZ,2,"Medium risk"
5846-NEQVZ,0,"Low risk"
6967-QIQRV,2,"Medium risk"
5781-RFZRP,0,"Low risk"
0939-YAPAF,4,"High risk"
0308-IVGOK,1,"Low risk"
7293-LSCDV,1,"Low risk"
7025-WCBNE,0,"Low risk"
5756-JYOJT,1,"Low risk"
4710-FDUIZ,4,"High risk"
6030-REHUX,3,"Medium risk"
9548-LIGTA,1,"Low risk"
5150-LJNSR,3,"Medium risk"
8270-RKSAP,4,"High risk"
6522-YRBXD,4,"High risk"
2640-LYMOV,3,"Medium risk"
1218-VKFPE,4,"High risk"
3627-FHKBK,5,"High risk"
2865-TCHJW,5,"High risk"
1423-BMPBQ,3,"Medium risk"
2393-DIVAI,3,"Medium risk"
5192-EBGOV,6,"High risk"
4568-KNYWR,1,"Low risk"
8752-IMQOS,2,"Medium risk"
0742-LAFQK,3,"Medium risk"
0795-LAFGP,1,"Low risk"
0619-OLYUR,2,"Medium risk"
5512-IDZEI,1,"Low risk"
0459-SPZHJ,2,"Medium risk"
0215-BQKGS,4,"High risk"
9244-ZVAPM,3,"Medium risk"
0719-SYFRB,3,"Medium risk"
8208-EUMTE,0,"Low risk"
5172-MIGPM,2,"Medium risk"
1710-RCXUS,3,"Medium risk"
0374-FIUCA,1,"Low risk"
5839-SUYVZ,2,"Medium risk"
5173-ZXXXL,2,"Medium risk"
1096-ADRUX,2,"Medium risk"
2001-MCUUW,2,"Medium risk"
2731-GJRDG,2,"Medium risk"
4723-BEGSG,1,"Low risk"
6516-NKQBO,1,"Low risk"
8672-OAUPW,0,"Low risk"
8207-DMRVL,2,"Medium risk"
3419-SNJJD,5,"High risk"
6543-CPZMK,4,"High risk"
4765-OXPPD,3,"Medium risk"
2804-ETQDK,1,"Low risk"
6689-VRRTK,3,"Medium risk"
7138-GIRSH,0,"Low risk"
9396-ZSFLL,2,"Medium risk"
6464-KEXXH,3,"Medium risk"
7134-MJPDY,2,"Medium risk"
5240-CAOYT,3,"Medium risk"
4059-IIEBK,4,"High risk"
4881-JVQOD,3,"Medium risk"
0516-UXRMT,3,"Medium risk"
4851-BQDNX,3,"Medium risk"
5148-HKFIR,1,"Low risk"
1009-IRMNA,3,"Medium risk"
3003-CMDUU,3,"Medium risk"
5016-IBERQ,4,"High risk"
6797-UCJHZ,3,"Medium risk"
2469-DTSGX,2,"Medium risk"
4554-YGZIH,5,"High risk"
5099-BAILX,4,"High risk"
9931-KGHOA,2,"Medium risk"
1775-KWJKQ,1,"Low risk"
7665-VIGUD,2,"Medium risk"
9411-TPQQV,0,"Low risk"
7207-RMRDB,5,"High risk"
7954-MLBUN,2,"Medium risk"
2077-DDHJK,0,"Low risk"
4913-EHYUI,4,"High risk"
0195-IESCP,5,"High risk"
9574-BOSMD,1,"Low risk"
4580-TMHJU,3,"Medium risk"
0970-ETWGE,5,"High risk"
4908-XAXAY,3,"Medium risk"
8404-VLQFB,2,"Medium risk"
1626-ERCMM,5,"High risk"
0887-HJGAR,3,"Medium risk"
2391-IPLOP,0,"Low risk"
5644-PDMZC,6,"High risk"
3509-GWQGF,3,"Medium risk"
9576-ANLXO,5,"High risk"
2024-BASKD,4,"High risk"
5845-BZZIB,1,"Low risk"
1140-UKVZG,2,"Medium risk"
4160-AMJTL,4,"High risk"
5183-SNMJQ,4,"High risk"
8100-PNJMH,1,"Low risk"
7838-LAZFO,1,"Low risk"
4464-JCOLN,2,"Medium risk"
2085-JVGAD,2,"Medium risk"
5650-VDUDS,4,"High risk"
8095-WANWK,3,"Medium risk"
3030-ZKIWL,3,"Medium risk"
9565-FLVCG,1,"Low risk"
8755-OGKNA,1,"Low risk"
2800-VEQXM,4,"High risk"
7538-GWHML,5,"High risk"
5533-RJFTJ,2,"Medium risk"
3859-CVCET,4,"High risk"
0214-JHPFW,0,"Low risk"
5642-MHDQT,1,"Low risk"
3088-FVYWK,1,"Low risk"
3276-HDUEG,5,"High risk"
9092-GDZKO,2,"Medium risk"
0823-HSCDJ,3,"Medium risk"
3729-OWRVL,2,"Medium risk"
2324-AALNO,1,"Low risk"
0822-GAVAP,4,"High risk"
5760-IFJOZ,5,"High risk"
2826-UWHIS,4,"High risk"
1448-PWKYE,4,"High risk"
7501-IWUNG,0,"Low risk"
4957-TREIR,2,"Medium risk"
7251-LJBQN,2,"Medium risk"
8040-MNRTF,4,"High risk"
1536-HBSWP,2,"Medium risk"
5313-FPXWG,1,"Low risk"
0067-DKWBL,4,"High risk"
0946-FKYTX,1,"Low risk"
5076-YVXCM,4,"High risk"
8262-COGGB,3,"Medium risk"
6663-JOCQO,0,"Low risk"
9620-QJREV,1,"Low risk"
2276-YDAVZ,4,"High risk"
2682-KEVRP,1,"Low risk"
2480-JZOSN,3,"Medium risk"
0078-XZMHT,1,"Low risk"
5896-NPFWW,4,"High risk"
9978-HYCIN,3,"Medium risk"
8338-QIUNR,0,"Low risk"
1525-LNLOJ,1,"Low risk"
9450-TRJUU,4,"High risk"
1766-GKNMI,4,"High risk"
6942-LBFDP,3,"Medium risk"
1456-TWCGB,3,"Medium risk"
7133-VBDCG,4,"High risk"
7596-ZYWBB,0,"Low risk"
8329-UTMVM,2,"Medium risk"
3014-WJKSM,3,"Medium risk"
3347-YJZZE,3,"Medium risk"
1029-QFBEN,4,"High risk"
7929-DMBCV,3,"Medium risk"
9661-JALZV,1,"Low risk"
5433-KYGHE,3,"Medium risk"
4312-KFRXN,1,"Low risk"
5575-TPIZQ,4,"High risk"
0114-IGABW,0,"Low risk"
9944-AEXBM,4,"High risk"
1853-ARAAQ,2,"Medium risk"
6952-OMNWB,4,"High risk"
4697-LUPSU,2,"Medium risk"
8434-VGEQQ,1,"Low risk"
4952-YSOGZ,5,"High risk"
1589-AGTLK,3,"Medium risk"
5244-IRFIH,4,"High risk"
6549-YMFAW,3,"Medium risk"
4950-HKQTE,1,"Low risk"
6786-OBWQR,5,"High risk"
2684-EIWEO,5,"High risk"
2753-JMMCV,0,"Low risk"
6439-GTPCA,3,"Medium risk"
6621-YOBKI,3,"Medium risk"
1216-JWVUX,3,"Medium risk"
7564-GHCVB,2,"Medium risk"
1173-NOEYG,4,"High risk"
7595-EHCDL,2,"Medium risk"
6647-ZEDXT,2,"Medium risk"
2521-NPUZR,2,"Medium risk"
1307-TVUFB,3,"Medium risk"
7503-MIOGA,1,"Low risk"
4381-MHQDC,0,"Low risk"
6923-JHPMP,5,"High risk"
5138-WVKYJ,6,"High risk"
4018-PPNDW,1,"Low risk"
1635-FJFCC,3,"Medium risk"
2499-AJYUA,2,"Medium risk"
6919-ELBGL,2,"Medium risk"
3966-HRMZA,4,"High risk"
6425-JWTDV,1,"Low risk"
8405-IGQFX,2,"Medium risk"
8224-IVVPA,2,"Medium risk"
9477-LGWQI,2,"Medium risk"
1410-RSCMR,2,"Medium risk"
0139-IVFJG,5,"High risk"
6683-VLCTZ,4,"High risk"
5730-DBDSI,1,"Low risk"
0030-FNXPP,3,"Medium risk"
2189-WWOEW,4,"High risk"
5684-FJVYR,2,"Medium risk"
4013-GUXND,3,"Medium risk"
1894-IGFSG,5,"High risk"
7379-POKDZ,5,"High risk"
1266-NZYUI,0,"Low risk"
7969-FFOWG,1,"Low risk"
4718-DHSMV,3,"Medium risk"
5175-WLYXL,3,"Medium risk"
7817-OMJNA,1,"Low risk"
8728-SKJLR,2,"Medium risk"
3137-NYQQI,1,"Low risk"
