customer_ID,gender,senior_citizen,partner,dependents,tenure,contract,payment_method,paperless_billing,monthly_charges,total_charges,"Internet Type","Online Security","Online Backup","Premium Tech Support","Streaming TV","Streaming Movies","Churn Category","Churn Reason","Satisfaction Score","Churn Score",CLTV,churn
6234-RAAPL,Female,No,Yes,Yes,72,"Two year","Bank transfer (automatic)",No,99.9,7251.7,"Fiber Optic",Yes,Yes,Yes,Yes,No,,,4,79,5915,No
6047-YHPVI,Male,No,No,No,5,Month-to-month,"Electronic check",Yes,69.7,316.9,"Fiber Optic",No,No,No,No,No,Competitor,"Competitor had better devices",1,66,2454,Yes
6572-ADKRS,Female,No,No,No,46,Month-to-month,"Credit card (automatic)",Yes,74.8,3548.3,"Fiber Optic",No,No,No,No,No,,,3,41,3395,No
5380-WJKOV,Male,No,No,No,34,Month-to-month,"Electronic check",Yes,106.35,3549.25,"Fiber Optic",No,Yes,No,Yes,Yes,Competitor,"Competitor offered higher download speeds",2,65,2941,Yes
8168-UQWWF,Female,No,No,No,11,Month-to-month,"Bank transfer (automatic)",Yes,97.85,1105.4,Cable,No,No,No,Yes,Yes,Competitor,"Competitor offered more data",3,70,5674,Yes
8865-TNMNX,Male,No,Yes,Yes,10,"One year","Mailed check",No,49.55,475.7,DSL,No,Yes,No,No,No,,,3,22,2392,No
9489-DEDVP,Female,No,Yes,Yes,70,"Two year","Credit card (automatic)",Yes,69.2,4872.35,DSL,Yes,Yes,No,Yes,No,,,3,25,4715,No
9867-JCZSP,Female,No,Yes,Yes,17,"One year","Mailed check",No,20.75,418.25,None,No,No,No,No,No,,,4,64,3646,No
4671-VJLCL,Female,No,No,No,63,"Two year","Credit card (automatic)",Yes,79.85,4861.45,DSL,Yes,Yes,Yes,Yes,No,,,3,70,4595,No
4080-IIARD,Female,No,Yes,No,13,Month-to-month,"Electronic check",Yes,76.2,981.45,DSL,Yes,Yes,Yes,Yes,No,,,5,41,2569,No
3714-NTNFO,Female,No,No,No,49,Month-to-month,"Electronic check",Yes,84.5,3906.7,"Fiber Optic",No,No,No,No,Yes,,,5,71,6434,No
5948-UJZLF,Male,No,No,No,2,Month-to-month,"Mailed check",No,49.25,97,DSL,No,Yes,No,No,No,,,5,57,3805,No
7760-OYPDY,Female,No,No,No,2,Month-to-month,"Electronic check",Yes,80.65,144.15,"Fiber Optic",No,No,No,Yes,No,Competitor,"Competitor had better devices",1,90,5586,Yes
7639-LIAYI,Male,No,No,No,52,"Two year","Credit card (automatic)",Yes,79.75,4217.8,Cable,Yes,No,Yes,Yes,Yes,,,4,49,4142,No
2954-PIBKO,Female,No,Yes,Yes,69,"Two year","Credit card (automatic)",Yes,64.15,4254.1,Cable,Yes,No,Yes,No,No,,,3,62,5128,No
8012-SOUDQ,Female,Yes,No,No,43,Month-to-month,"Electronic check",Yes,90.25,3838.75,"Fiber Optic",No,Yes,No,Yes,No,,,4,52,2223,No
9420-LOJKX,Female,No,No,No,15,Month-to-month,"Credit card (automatic)",Yes,99.1,1426.4,"Fiber Optic",Yes,Yes,No,Yes,Yes,Competitor,"Competitor offered more data",1,82,2966,Yes
6575-SUVOI,Female,Yes,Yes,No,25,Month-to-month,"Credit card (automatic)",Yes,69.5,1752.65,DSL,Yes,No,Yes,Yes,No,,,4,25,3154,No
7495-OOKFY,Female,Yes,Yes,No,8,Month-to-month,"Credit card (automatic)",Yes,80.65,633.3,"Fiber Optic",No,Yes,No,No,No,Competitor,"Competitor made better offer",3,69,5302,Yes
4667-QONEA,Female,Yes,Yes,Yes,60,"One year","Credit card (automatic)",Yes,74.85,4456.35,Cable,Yes,Yes,Yes,No,Yes,,,3,59,5153,No
1658-BYGOY,Male,Yes,No,No,18,Month-to-month,"Electronic check",Yes,95.45,1752.55,"Fiber Optic",No,No,No,Yes,Yes,Competitor,"Competitor made better offer",2,81,3179,Yes
8769-KKTPH,Female,No,Yes,Yes,63,"One year","Credit card (automatic)",Yes,99.65,6311.2,"Fiber Optic",Yes,No,No,Yes,Yes,,,3,79,4572,No
5067-XJQFU,Male,Yes,Yes,Yes,66,"One year","Electronic check",Yes,108.45,7076.35,"Fiber Optic",No,Yes,Yes,Yes,Yes,,,5,74,4582,No
3957-SQXML,Female,No,Yes,Yes,34,"Two year","Credit card (automatic)",No,24.95,894.3,None,No,No,No,No,No,,,3,62,5408,No
5954-BDFSG,Female,No,No,No,72,"Two year","Credit card (automatic)",Yes,107.5,7853.7,"Fiber Optic",No,No,Yes,Yes,Yes,,,3,53,4708,No
0434-CSFON,Female,No,Yes,No,47,Month-to-month,"Electronic check",Yes,100.5,4707.1,"Fiber Optic",No,No,No,Yes,Yes,,,3,70,4488,No
1215-FIGMP,Male,No,No,No,60,Month-to-month,"Bank transfer (automatic)",Yes,89.9,5450.7,"Fiber Optic",No,Yes,No,Yes,No,,,3,35,6292,No
0526-SXDJP,Male,No,Yes,No,72,"Two year","Bank transfer (automatic)",No,42.1,2962,Cable,Yes,Yes,No,No,No,,,4,29,6091,No
0557-ASKVU,Female,No,Yes,Yes,18,"One year","Credit card (automatic)",Yes,54.4,957.1,Cable,No,No,Yes,No,No,,,5,33,4948,No
5698-BQJOH,Female,No,No,No,9,Month-to-month,"Electronic check",No,94.4,857.25,"Fiber Optic",No,No,No,Yes,Yes,Price,"Price too high",3,96,5571,Yes
5122-CYFXA,Female,No,No,No,3,Month-to-month,"Electronic check",Yes,75.3,244.1,DSL,No,Yes,Yes,Yes,Yes,,,3,35,5387,No
8627-ZYGSZ,Male,No,Yes,No,47,"One year","Electronic check",Yes,78.9,3650.35,"Fiber Optic",No,Yes,No,No,No,,,5,61,3817,No
3410-YOQBQ,Female,No,No,No,31,"Two year","Mailed check",No,79.2,2497.2,DSL,No,Yes,Yes,Yes,Yes,,,5,78,4984,No
3170-NMYVV,Female,No,Yes,Yes,50,"Two year","Bank transfer (automatic)",No,20.15,930.9,None,No,No,No,No,No,,,4,20,5849,No
7410-OIEDU,Male,No,No,No,10,Month-to-month,"Mailed check",Yes,79.85,887.35,"Fiber Optic",Yes,No,No,No,No,,,3,38,5983,No
2273-QCKXA,Male,No,No,No,1,Month-to-month,"Mailed check",No,49.05,49.05,Cable,No,No,Yes,No,No,,,3,30,3178,No
0731-EBJQB,Female,No,Yes,Yes,52,"One year","Electronic check",Yes,20.4,1090.65,None,No,No,No,No,No,,,3,26,5482,No
1891-QRQSA,Male,Yes,Yes,Yes,64,"Two year","Bank transfer (automatic)",Yes,111.6,7099,"Fiber Optic",Yes,No,Yes,Yes,Yes,,,4,69,4881,No
8028-PNXHQ,Male,No,Yes,Yes,62,"Two year","Bank transfer (automatic)",Yes,24.25,1424.6,None,No,No,No,No,No,,,5,33,4444,No
5630-AHZIL,Female,No,No,Yes,3,Month-to-month,"Bank transfer (automatic)",Yes,64.5,177.4,DSL,Yes,No,Yes,No,Yes,,,3,54,5613,No
2673-CXQEU,Female,Yes,No,No,56,"One year","Electronic check",No,110.5,6139.5,"Fiber Optic",Yes,Yes,No,Yes,Yes,,,4,21,4463,No
6416-JNVRK,Female,No,No,No,46,"One year","Credit card (automatic)",No,55.65,2688.85,Cable,No,No,No,No,Yes,,,5,56,2867,No
5590-ZSKRV,Female,No,Yes,Yes,8,Month-to-month,"Mailed check",No,54.65,482.25,DSL,Yes,Yes,No,No,No,,,3,43,5614,No
0191-ZHSKZ,Male,Yes,No,No,30,Month-to-month,"Electronic check",Yes,74.75,2111.3,DSL,Yes,Yes,No,Yes,Yes,,,4,55,3033,No
3887-PBQAO,Female,No,Yes,Yes,45,"One year","Credit card (automatic)",Yes,25.9,1216.6,None,No,No,No,No,No,,,4,78,5741,No
5919-TMRGD,Female,No,No,Yes,1,Month-to-month,"Electronic check",Yes,79.35,79.35,"Fiber Optic",No,No,No,Yes,No,Competitor,"Competitor had better devices",1,87,2483,Yes
8108-UXRQN,Female,No,Yes,Yes,11,Month-to-month,"Electronic check",No,50.55,565.35,Cable,Yes,No,No,Yes,Yes,,,3,28,3443,No
9191-MYQKX,Female,No,Yes,No,7,Month-to-month,"Bank transfer (automatic)",Yes,75.15,496.9,"Fiber Optic",No,No,No,No,No,Dissatisfaction,"Service dissatisfaction",1,70,3457,Yes
9919-YLNNG,Female,No,No,No,42,Month-to-month,"Bank transfer (automatic)",Yes,103.8,4327.5,"Fiber Optic",No,Yes,Yes,Yes,Yes,,,4,37,4005,No
0318-ZOPWS,Female,No,Yes,No,49,"Two year","Bank transfer (automatic)",Yes,20.15,973.35,None,No,No,No,No,No,,,5,37,5422,No
4445-ZJNMU,Male,No,No,No,9,Month-to-month,"Credit card (automatic)",Yes,99.3,918.75,"Fiber Optic",No,Yes,No,Yes,Yes,,,3,69,3540,No
4808-YNLEU,Female,No,Yes,No,35,"One year","Bank transfer (automatic)",Yes,62.15,2215.45,DSL,Yes,No,No,Yes,No,,,4,39,5255,No
1862-QRWPE,Female,No,Yes,Yes,48,"Two year","Bank transfer (automatic)",No,20.65,1057,None,No,No,No,No,No,,,5,25,4124,No
2796-NNUFI,Female,No,Yes,Yes,46,"Two year","Mailed check",Yes,19.95,927.1,None,No,No,No,No,No,,,5,80,5480,No
3016-KSVCP,Male,No,Yes,No,29,Month-to-month,"Mailed check",No,33.75,1009.25,DSL,No,No,No,Yes,No,,,3,62,3664,No
4767-HZZHQ,Male,No,Yes,Yes,30,Month-to-month,"Bank transfer (automatic)",No,82.05,2570.2,"Fiber Optic",No,Yes,No,No,No,,,3,9,5036,No
2424-WVHPL,Male,Yes,No,No,1,Month-to-month,"Electronic check",No,74.7,74.7,"Fiber Optic",No,No,Yes,No,No,,,5,60,4182,No
7233-PAHHL,Male,No,Yes,Yes,66,"Two year","Mailed check",Yes,84,5714.25,DSL,Yes,No,Yes,Yes,Yes,,,4,24,5825,No
6067-NGCEU,Female,No,No,No,65,Month-to-month,"Credit card (automatic)",Yes,111.05,7107,"Fiber Optic",Yes,Yes,No,Yes,Yes,,,4,38,5261,No
9848-JQJTX,Male,No,No,No,72,"Two year","Bank transfer (automatic)",Yes,100.9,7459.05,"Fiber Optic",No,Yes,No,Yes,Yes,,,3,54,5781,No
8637-XJIVR,Female,No,No,No,12,Month-to-month,"Electronic check",Yes,78.95,927.35,"Fiber Optic",Yes,No,No,No,No,Attitude,"Attitude of support person",1,86,5806,Yes
9803-FTJCG,Male,No,Yes,Yes,71,"One year","Credit card (automatic)",Yes,66.85,4748.7,DSL,Yes,Yes,Yes,No,No,,,4,26,4117,No
0278-YXOOG,Male,No,No,No,5,Month-to-month,"Mailed check",No,21.05,113.85,None,No,No,No,No,No,Attitude,"Attitude of support person",3,66,2604,Yes
3212-KXOCR,Male,No,No,No,52,"Two year","Bank transfer (automatic)",No,21,1107.2,None,No,No,No,No,No,,,4,66,4158,No
4598-XLKNJ,Female,Yes,Yes,No,25,Month-to-month,"Electronic check",Yes,98.5,2514.5,"Fiber Optic",No,Yes,No,Yes,Yes,Dissatisfaction,"Limited range of services",2,88,5337,Yes
6380-ARCEH,Male,No,No,No,1,Month-to-month,"Mailed check",No,20.2,20.2,None,No,No,No,No,No,,,3,77,2710,No
3679-XASPY,Female,No,Yes,Yes,1,Month-to-month,"Electronic check",No,19.45,19.45,None,No,No,No,No,No,,,3,26,5612,No
7123-WQUHX,Male,No,No,No,38,"One year","Bank transfer (automatic)",No,95,3605.6,"Fiber Optic",No,No,Yes,Yes,No,,,5,63,4741,No
5386-THSLQ,Female,Yes,Yes,No,66,"One year","Bank transfer (automatic)",No,45.55,3027.25,Cable,No,Yes,No,Yes,No,,,5,28,6238,No
3192-NQECA,Male,No,Yes,No,68,"Two year","Bank transfer (automatic)",Yes,110,7611.85,"Fiber Optic",No,Yes,Yes,Yes,Yes,Competitor,"Competitor had better devices",2,86,5034,Yes
6180-YBIQI,Male,No,No,No,5,Month-to-month,"Mailed check",No,24.3,100.2,DSL,No,No,No,No,No,,,3,61,4015,No
6728-DKUCO,Female,No,Yes,Yes,72,"One year","Electronic check",Yes,104.15,7303.05,"Fiber Optic",Yes,Yes,No,Yes,Yes,,,3,21,4594,No
9750-BOOHV,Female,No,No,No,32,"One year","Mailed check",No,30.15,927.65,DSL,Yes,No,No,No,No,,,4,60,3585,No
8597-CWYHH,Male,No,No,No,43,"One year","Mailed check",No,94.35,3921.3,"Fiber Optic",No,No,No,Yes,Yes,,,3,53,5845,No
2848-YXSMW,Male,No,Yes,Yes,72,"Two year","Credit card (automatic)",No,19.4,1363.25,None,No,No,No,No,No,,,5,23,5234,No
0486-HECZI,Male,No,Yes,No,55,Month-to-month,"Electronic check",Yes,96.75,5238.9,"Fiber Optic",Yes,Yes,No,Yes,No,Price,"Long distance charges",1,75,5154,Yes
4549-ZDQYY,Female,No,No,No,52,"One year","Credit card (automatic)",No,57.95,3042.25,DSL,Yes,No,Yes,No,No,,,3,28,6078,No
5712-AHQNN,Female,No,No,No,43,Month-to-month,"Electronic check",Yes,91.65,3954.1,"Fiber Optic",No,Yes,No,Yes,No,,,5,65,3826,No
4846-WHAFZ,Female,Yes,Yes,No,37,Month-to-month,"Electronic check",Yes,76.5,2868.15,"Fiber Optic",No,No,No,No,No,Price,"Extra data charges",2,67,2793,Yes
5256-SKJGO,Female,No,Yes,Yes,64,"Two year","Electronic check",Yes,54.6,3423.5,DSL,No,Yes,Yes,Yes,Yes,,,4,35,4850,No
3071-VBYPO,Male,No,Yes,Yes,3,Month-to-month,"Electronic check",No,89.85,248.4,"Fiber Optic",Yes,Yes,No,Yes,No,,,3,22,4648,No
9560-BBZXK,Female,No,No,No,36,"Two year","Bank transfer (automatic)",No,31.05,1126.35,Cable,Yes,No,No,No,No,,,4,54,4871,No
5299-RULOA,Female,No,Yes,Yes,10,Month-to-month,"Electronic check",Yes,100.25,1064.65,"Fiber Optic",Yes,No,No,Yes,Yes,Price,"Price too high",2,87,5998,Yes
8402-OOOHJ,Female,No,No,No,41,"Two year","Mailed check",No,20.65,835.15,None,No,No,No,No,No,,,5,59,5918,No
9445-ZUEQE,Male,No,Yes,Yes,27,Month-to-month,"Credit card (automatic)",Yes,85.2,2151.6,"Fiber Optic",No,Yes,Yes,No,No,,,3,28,3796,No
1091-SOZGA,Female,No,Yes,Yes,56,"One year","Credit card (automatic)",Yes,99.8,5515.45,"Fiber Optic",No,No,No,Yes,Yes,,,4,43,4606,No
2928-HLDBA,Female,No,No,No,6,Month-to-month,"Mailed check",No,20.7,112.75,None,No,No,No,No,No,,,5,47,5346,No
0404-SWRVG,Male,No,No,No,3,Month-to-month,"Electronic check",Yes,74.4,229.55,"Fiber Optic",No,No,No,No,No,Dissatisfaction,"Product dissatisfaction",1,76,4415,Yes
6497-TILVL,Female,No,Yes,Yes,7,Month-to-month,"Mailed check",No,50.7,350.35,DSL,Yes,No,No,No,No,,,3,59,3097,No
7219-TLZHO,Female,No,Yes,Yes,4,Month-to-month,"Mailed check",No,20.85,62.9,None,No,No,No,No,No,,,5,76,3172,No
4622-YNKIJ,Male,No,No,No,33,"Two year","Electronic check",Yes,88.95,3027.65,"Fiber Optic",Yes,No,Yes,Yes,No,,,3,32,5087,No
4412-YLTKF,Female,Yes,No,No,27,Month-to-month,"Electronic check",Yes,78.05,2135.5,"Fiber Optic",No,No,No,No,No,Competitor,"Competitor had better devices",1,95,4638,Yes
6734-PSBAW,Male,No,Yes,No,72,"Two year","Bank transfer (automatic)",Yes,23.55,1723.95,None,No,No,No,No,No,,,3,59,5901,No
3930-ZGWVE,Male,No,No,No,1,Month-to-month,"Mailed check",No,19.75,19.75,None,No,No,No,No,No,,,3,68,2484,No
2639-UGMAZ,Male,Yes,No,No,71,"One year","Electronic check",Yes,56.45,3985.35,DSL,Yes,Yes,No,Yes,Yes,,,3,68,5372,No
2876-GZYZC,Female,No,No,No,13,Month-to-month,"Electronic check",Yes,85.95,1215.65,"Fiber Optic",No,No,No,No,Yes,,,5,58,5886,No
6207-WIOLX,Female,No,Yes,Yes,25,Month-to-month,"Credit card (automatic)",Yes,58.6,1502.65,DSL,Yes,Yes,No,Yes,Yes,Attitude,"Attitude of support person",1,91,4190,Yes
8587-XYZSF,Male,No,No,No,67,"Two year","Bank transfer (automatic)",No,50.55,3260.1,DSL,No,No,Yes,No,No,,,5,63,6064,No
3091-FYHKI,Male,No,No,No,1,Month-to-month,"Electronic check",Yes,35.45,35.45,DSL,No,No,No,No,Yes,Dissatisfaction,"Network reliability",3,80,2301,Yes
2372-HWUHI,Male,No,No,No,2,Month-to-month,"Electronic check",No,44.35,81.25,DSL,No,No,No,No,No,Other,"Don't know",3,76,2570,Yes
7799-LGRDP,Female,No,No,No,43,"Two year","Credit card (automatic)",Yes,25.7,1188.2,None,No,No,No,No,No,,,4,79,2017,No
7850-VWJUU,Female,No,No,No,23,Month-to-month,"Bank transfer (automatic)",Yes,75,1778.5,"Fiber Optic",Yes,No,No,No,No,,,4,29,2221,No
3774-VBNXY,Female,No,Yes,Yes,64,"Two year","Mailed check",No,20.2,1277.75,None,No,No,No,No,No,,,5,51,4557,No
6217-KDYWC,Male,No,No,Yes,57,"Two year","Mailed check",Yes,19.6,1170.55,None,No,No,No,No,No,,,3,40,4393,No
0390-DCFDQ,Female,Yes,Yes,No,1,Month-to-month,"Mailed check",Yes,70.45,70.45,"Fiber Optic",No,No,No,No,No,Other,"Don't know",2,76,3964,Yes
3146-MSEGF,Female,Yes,Yes,Yes,72,"Two year","Credit card (automatic)",Yes,88.05,6425.65,DSL,Yes,Yes,Yes,Yes,Yes,,,3,8,6102,No
4080-OGPJL,Female,No,No,No,8,Month-to-month,"Electronic check",No,71.15,563.65,DSL,Yes,No,Yes,No,Yes,Other,"Don't know",1,66,2662,Yes
1095-WGNGG,Female,No,Yes,No,61,"Two year","Bank transfer (automatic)",Yes,101.05,5971.25,"Fiber Optic",No,Yes,No,Yes,Yes,,,4,60,6311,No
2636-SJDOU,Male,No,No,No,64,"One year","Credit card (automatic)",Yes,84.3,5289.05,"Fiber Optic",Yes,Yes,No,No,No,,,3,53,5044,No
1131-QQZEB,Male,Yes,Yes,No,71,"Two year","Bank transfer (automatic)",No,23.95,1756.2,None,No,No,No,No,No,,,3,52,4329,No
5716-EZXZN,Female,No,Yes,Yes,65,"Two year","Credit card (automatic)",Yes,99.05,6416.7,"Fiber Optic",Yes,Yes,Yes,Yes,No,,,3,59,5878,No
6837-BJYDQ,Male,No,No,No,3,"One year","Mailed check",No,19.6,61.35,None,No,No,No,No,No,,,5,33,2543,No
2135-RXIHG,Male,No,No,No,1,Month-to-month,"Electronic check",Yes,45.65,45.65,Cable,No,No,No,No,No,Competitor,"Competitor had better devices",1,73,2600,Yes
6440-DKQGE,Male,No,No,Yes,30,"One year","Credit card (automatic)",No,64.5,1929.95,Cable,No,Yes,No,Yes,No,,,5,30,4320,No
3466-BYAVD,Male,No,Yes,Yes,15,Month-to-month,"Mailed check",Yes,69.5,1071.4,Cable,No,Yes,Yes,No,Yes,,,4,35,3128,No
3780-YVMFA,Female,No,Yes,Yes,8,Month-to-month,"Electronic check",Yes,68.55,564.35,Cable,No,No,Yes,Yes,Yes,,,3,58,3123,No
3874-EQOEP,Male,No,No,No,7,Month-to-month,"Mailed check",No,95,655.5,Cable,No,No,No,Yes,Yes,Competitor,"Competitor had better devices",1,94,2786,Yes
1679-JRFBR,Female,No,Yes,Yes,70,"One year","Credit card (automatic)",Yes,108.15,7930.55,"Fiber Optic",Yes,Yes,No,Yes,Yes,,,4,41,5192,No
9073-ZZIAY,Male,No,Yes,Yes,62,"Two year","Electronic check",No,86.1,5215.25,DSL,Yes,Yes,Yes,Yes,Yes,,,4,62,5769,No
3077-RSNTJ,Female,No,Yes,Yes,6,Month-to-month,"Mailed check",No,19.7,113.5,None,No,No,No,No,No,,,3,43,4293,No
6551-GNYDG,Female,No,Yes,Yes,14,Month-to-month,"Bank transfer (automatic)",Yes,80.9,1152.8,"Fiber Optic",No,No,No,No,Yes,,,5,46,2563,No
9167-APMXZ,Female,No,No,No,22,Month-to-month,"Bank transfer (automatic)",Yes,84.15,1821.95,"Fiber Optic",No,No,No,Yes,No,,,3,32,3549,No
2749-CTKAJ,Male,No,Yes,Yes,22,"One year","Mailed check",No,20.15,419.9,None,No,No,No,No,No,,,5,72,2173,No
6371-NZYEG,Male,No,Yes,Yes,16,"Two year","Mailed check",No,64.25,1024,DSL,Yes,No,No,Yes,No,,,4,77,5511,No
7554-NEWDD,Male,No,No,No,10,"Two year","Bank transfer (automatic)",No,25.7,251.6,None,No,No,No,No,No,,,5,8,3611,No
8992-VONJD,Female,No,No,Yes,13,Month-to-month,"Electronic check",Yes,56,764.55,DSL,Yes,Yes,No,No,No,,,3,22,5156,No
0867-MKZVY,Female,No,Yes,No,20,Month-to-month,"Electronic check",No,82.4,1592.35,"Fiber Optic",Yes,No,No,No,No,Price,"Price too high",1,86,5719,Yes
4482-EWFMI,Female,No,No,No,2,Month-to-month,"Electronic check",Yes,69.7,135.2,"Fiber Optic",No,No,No,No,No,,,5,43,3056,No
4648-YPBTM,Male,No,No,No,53,"Two year","Bank transfer (automatic)",Yes,73.9,3958.25,DSL,No,Yes,Yes,No,Yes,,,4,55,5644,No
2907-ILJBN,Female,No,Yes,Yes,11,"One year","Mailed check",No,20.6,233.9,None,No,No,No,No,No,,,3,29,4047,No
6345-FZOQH,Male,No,Yes,No,69,"Two year","Mailed check",No,19.9,1363.45,None,No,No,No,No,No,,,5,54,5570,No
3376-BMGFE,Female,No,No,No,4,Month-to-month,"Bank transfer (automatic)",Yes,70.9,273,"Fiber Optic",No,No,No,No,No,Dissatisfaction,"Product dissatisfaction",1,75,4287,Yes
5997-OPVFA,Male,No,Yes,No,72,"Two year","Bank transfer (automatic)",Yes,89.05,6254.45,Cable,Yes,Yes,Yes,Yes,Yes,,,4,54,6212,No
